Element_ID,Type,Point_X,Point_Y
1,Line,144,380
1,Line,165,380
1,Line,199,377
1,Line,205,376
1,Line,205,395
1,Line,202,417
1,Line,190,429
1,Line,182,440
1,Line,179,477
1,Line,176,492
1,Line,185,516
1,Line,203,572
1,Line,208,604
1,Line,208,635
1,Line,213,667
