x,y,z
0.0,0.0,1.0
0.06407021998071291,0.0,0.9979453927503363
0.127877161684506,0.0,0.9917900138232462
0.1911586287013723,0.0,0.9815591569910653
0.25365458390950735,0.0,0.9672948630390295
0.31510821802362066,0.0,0.9490557470106686
0.3752670048793741,0.0,0.9269167573460217
0.4338837391175581,0.0,0.9009688679024191
0.49071755200393785,0.0,0.8713187041233894
0.5455349012105486,0.0,0.8380881048918407
0.5981105304912159,0.0,0.8014136218679567
0.6482283953077884,0.0,0.7614459583691344
0.6956825506034864,0.0,0.7183493500977276
0.7402779970753155,0.0,0.6723008902613169
0.7818314824680298,0.0,0.6234898018587336
0.8201722545969559,0.0,0.5721166601221697
0.8551427630053461,0.0,0.5183925683105252
0.886599306373,0.0,0.4625382902408354
0.9144126230158124,0.0,0.404783343122394
0.9384684220497603,0.0,0.3453650544213078
0.9586678530366606,0.0,0.28452758663103267
0.9749279121818236,0.0,0.22252093395631445
0.9871817834144501,0.0,0.15959989503337932
0.9953791129491982,0.0,0.09602302590768189
0.9994862162006879,0.0,0.03205157757165533
0.9994862162006879,0.0,-0.032051577571654985
0.9953791129491982,0.0,-0.09602302590768154
0.9871817834144502,0.0,-0.15959989503337896
0.9749279121818236,0.0,-0.22252093395631434
0.9586678530366607,0.0,-0.28452758663103234
0.9384684220497604,0.0,-0.3453650544213075
0.9144126230158125,0.0,-0.40478334312239367
0.8865993063730001,0.0,-0.4625382902408351
0.8551427630053462,0.0,-0.518392568310525
0.8201722545969561,0.0,-0.5721166601221694
0.7818314824680299,0.0,-0.6234898018587335
0.7402779970753157,0.0,-0.6723008902613166
0.6956825506034865,0.0,-0.7183493500977275
0.6482283953077888,0.0,-0.7614459583691342
0.5981105304912161,0.0,-0.8014136218679565
0.545534901210549,0.0,-0.8380881048918404
0.49071755200393813,0.0,-0.8713187041233892
0.43388373911755823,0.0,-0.900968867902419
0.3752670048793745,0.0,-0.9269167573460216
0.3151082180236209,0.0,-0.9490557470106686
0.2536545839095078,0.0,-0.9672948630390293
0.19115862870137254,0.0,-0.9815591569910653
0.1278771616845065,0.0,-0.991790013823246
0.06407021998071323,0.0,-0.9979453927503363
1.2246467991473532e-16,0.0,-1.0
0.0,0.0,1.0
0.06354420436032968,0.008193117879635491,0.9979453927503363
0.12682729195475367,0.01635256848048529,0.9917900138232462
0.1895892190021668,0.02444482286983383,0.9815591569910653
0.25157208328194003,0.03243662823861217,0.9672948630390295
0.3125211839094652,0.040295144544323105,0.9490557470106686
0.3721860679567226,0.04798807945782002,0.9269167573460217
0.4303215596170847,0.055483821059414,0.9009688679024191
0.48668876768529507,0.06275156773903254,0.8713187041233894
0.5410560672126732,0.06976145476664233,0.8380881048918407
0.5932000513037121,0.07648467701283086,0.8014136218679567
0.6429064491429322,0.08289360731526192,0.7614459583691344
0.689971006479623,0.08896191000461155,0.7183493500977276
0.7342003249523721,0.09466464912348238,0.6723008902613169
0.7754126568044163,0.09997839089360126,0.6234898018587336
0.8134386517241579,0.10488130001024074,0.5721166601221697
0.8481220527419211,0.10935322936816984,0.5183925683105252
0.8793203383233581,0.11337580285043099,0.4625382902408354
0.9069053080210033,0.11693249083974627,0.404783343122394
0.9307636092774119,0.12000867814226042,0.3453650544213078
0.9507972032151313,0.12259172404450727,0.28452758663103267
0.9669237674994794,0.12467101425681293,0.22252093395631445
0.9790770346186742,0.1262380045296886,0.15959989503337932
0.9872070641912558,0.12728625576398478,0.09602302590768189
0.9912804481818243,0.1278114604705305,0.03205157757165533
0.9912804481818243,0.1278114604705305,-0.032051577571654985
0.9872070641912558,0.12728625576398478,-0.09602302590768154
0.9790770346186743,0.1262380045296886,-0.15959989503337896
0.9669237674994794,0.12467101425681293,-0.22252093395631434
0.9507972032151314,0.12259172404450729,-0.28452758663103234
0.930763609277412,0.12000867814226043,-0.3453650544213075
0.9069053080210034,0.11693249083974629,-0.40478334312239367
0.8793203383233582,0.113375802850431,-0.4625382902408351
0.8481220527419212,0.10935322936816985,-0.518392568310525
0.8134386517241581,0.10488130001024076,-0.5721166601221694
0.7754126568044164,0.09997839089360128,-0.6234898018587335
0.7342003249523723,0.09466464912348241,-0.6723008902613166
0.6899710064796231,0.08896191000461157,-0.7183493500977275
0.6429064491429325,0.08289360731526198,-0.7614459583691342
0.5932000513037123,0.07648467701283089,-0.8014136218679565
0.5410560672126736,0.06976145476664239,-0.8380881048918404
0.48668876768529534,0.06275156773903258,-0.8713187041233892
0.4303215596170848,0.05548382105941401,-0.900968867902419
0.372186067956723,0.04798807945782007,-0.9269167573460216
0.3125211839094654,0.04029514454432313,-0.9490557470106686
0.2515720832819405,0.03243662823861222,-0.9672948630390293
0.18958921900216705,0.024444822869833866,-0.9815591569910653
0.12682729195475417,0.01635256848048535,-0.991790013823246
0.06354420436033,0.008193117879635533,-0.9979453927503363
1.2145924658549477e-16,1.5660435674097883e-17,-1.0
0.0,0.0,1.0
0.06197479466112418,0.01625170499019834,0.9979453927503363
0.12369492159743405,0.03243662823861217,0.9917900138232462
0.1849067595684226,0.048488262423958595,0.9815591569910653
0.24535877600196893,0.06434064793830531,0.9672948630390295
0.30480256059563077,0.07992864392924783,0.9490557470106686
0.36299384608786095,0.0951881959776447,0.9269167573460217
0.4196935120045804,0.11005659931096544,0.9009688679024191
0.47466856725649686,0.12447275647065088,0.8713187041233894
0.5276931075494681,0.1383774283746759,0.8380881048918407
0.5785492436737019,0.15171347774364408,0.8014136218679567
0.6270279968572571,0.16442610389012471,0.7614459583691344
0.672930157504642,0.17646306790643213,0.7183493500977276
0.7160671037917743,0.18777490732550264,0.6723008902613169
0.7562615767535142,0.1983151393727814,0.6234898018587336
0.7933484086787744,0.20804045197391335,0.5721166601221697
0.8271752018200734,0.21691088173334752,0.5183925683105252
0.8576029546285695,0.22488997815250114,0.4625382902408354
0.8845066329412399,0.2319449534126771,0.404783343122394
0.907775683773077,0.23804681710724387,0.3453650544213078
0.927314489603017,0.24317049536943489,0.28452758663103267
0.9430427612868441,0.24729493390624518,0.22252093395631445
0.9548958679825054,0.25040318451503774,0.15959989503337932
0.9628251027321053,0.2524824747273434,0.09602302590768189
0.9667978826092422,0.25352426029367336,0.03205157757165533
0.9667978826092422,0.25352426029367336,-0.032051577571654985
0.9628251027321053,0.2524824747273434,-0.09602302590768154
0.9548958679825054,0.25040318451503774,-0.15959989503337896
0.9430427612868441,0.24729493390624518,-0.22252093395631434
0.9273144896030171,0.2431704953694349,-0.28452758663103234
0.9077756837730772,0.2380468171072439,-0.3453650544213075
0.88450663294124,0.23194495341267712,-0.40478334312239367
0.8576029546285696,0.22488997815250117,-0.4625382902408351
0.8271752018200735,0.21691088173334755,-0.518392568310525
0.7933484086787747,0.2080404519739134,-0.5721166601221694
0.7562615767535144,0.19831513937278142,-0.6234898018587335
0.7160671037917745,0.1877749073255027,-0.6723008902613166
0.6729301575046421,0.17646306790643215,-0.7183493500977275
0.6270279968572574,0.1644261038901248,-0.7614459583691342
0.5785492436737021,0.15171347774364413,-0.8014136218679565
0.5276931075494685,0.138377428374676,-0.8380881048918404
0.47466856725649714,0.12447275647065095,-0.8713187041233892
0.4196935120045805,0.11005659931096547,-0.900968867902419
0.36299384608786134,0.0951881959776448,-0.9269167573460216
0.304802560595631,0.07992864392924788,-0.9490557470106686
0.24535877600196934,0.06434064793830542,-0.9672948630390293
0.18490675956842284,0.048488262423958664,-0.9815591569910653
0.12369492159743453,0.03243662823861229,-0.991790013823246
0.061974794661124495,0.01625170499019842,-0.9979453927503363
1.1845945578524248e-16,3.106372742738319e-17,-1.0
0.0,0.0,1.0
0.059387760546968704,0.024043439554124763,0.9979453927503363
0.11853148404721524,0.04798807945782002,0.9917900138232462
0.17718813625458818,0.07173552604961234,0.9815591569910653
0.23511668440335493,0.0951881959776447,0.9672948630390295
0.2920790876635377,0.11824971719060093,0.9490557470106686
0.34784127530174314,0.14082532495113617,0.9269167573460217
0.4021741085280142,0.16282225124450975,0.9009688679024191
0.45485432207626786,0.18415010598225626,0.8713187041233894
0.505665441649164,0.2047212484344478,0.8380881048918407
0.5543986734574267,0.22445114736425215,0.8014136218679567
0.6008537621983103,0.24325872838491666,0.7614459583691344
0.6448398139475933,0.26106670711181396,0.7183493500977276
0.6861760805836592,0.2778019067405557,0.6723008902613169
0.7246927025202993,0.2933955587461784,0.6234898018587336
0.760231406696186,0.3077835854677631,0.5721166601221697
0.7926461569528329,0.32090686341728863,0.5183925683105252
0.8218037541284933,0.3327114662307263,0.4625382902408354
0.8475843834020871,0.34314888626303613,0.404783343122394
0.8698821066380016,0.3521762339164859,0.3453650544213078
0.888605297708614,0.35975641388320756,0.28452758663103267
0.903677019005703,0.3658582775777744,0.22252093395631445
0.9150353375935848,0.37045675113341964,0.15959989503337932
0.9226335797048304,0.3735329384359338,0.09602302590768189
0.9264405225327864,0.37507419877185066,0.03205157757165533
0.9264405225327864,0.37507419877185066,-0.032051577571654985
0.9226335797048304,0.3735329384359338,-0.09602302590768154
0.9150353375935849,0.3704567511334197,-0.15959989503337896
0.903677019005703,0.3658582775777744,-0.22252093395631434
0.8886052977086141,0.3597564138832076,-0.28452758663103234
0.8698821066380017,0.35217623391648595,-0.3453650544213075
0.8475843834020871,0.3431488862630362,-0.40478334312239367
0.8218037541284934,0.33271146623072634,-0.4625382902408351
0.792646156952833,0.3209068634172887,-0.518392568310525
0.7602314066961863,0.3077835854677632,-0.5721166601221694
0.7246927025202994,0.29339555874617845,-0.6234898018587335
0.6861760805836594,0.27780190674055577,-0.6723008902613166
0.6448398139475934,0.26106670711181396,-0.7183493500977275
0.6008537621983107,0.2432587283849168,-0.7614459583691342
0.5543986734574269,0.22445114736425223,-0.8014136218679565
0.5056654416491644,0.20472124843444797,-0.8380881048918404
0.45485432207626814,0.18415010598225637,-0.8713187041233892
0.40217410852801433,0.1628222512445098,-0.900968867902419
0.3478412753017435,0.1408253249511363,-0.9269167573460216
0.2920790876635379,0.11824971719060101,-0.9490557470106686
0.23511668440335534,0.09518819597764487,-0.9672948630390293
0.1771881362545884,0.07173552604961243,-0.9815591569910653
0.1185314840472157,0.04798807945782021,-0.991790013823246
0.059387760546969,0.024043439554124885,-0.9979453927503363
1.1351456399598494e-16,4.5956953635113964e-17,-1.0
0.0,0.0,1.0
0.055825581046495265,0.031440381505289224,0.9979453927503363
0.11142176280592091,0.06275156773903254,0.9917900138232462
0.16656008864208385,0.09380489432076711,0.9815591569910653
0.2210139833469895,0.12447275647065088,0.9672948630390295
0.27455968418697163,0.15462913336487424,0.9490557470106686
0.3269771603917619,0.18415010598225626,0.9269167573460217
